lng,lat,parcel_id
-72.71281,41.75994,112374109
-72.71282,41.75980,112374110
-72.71282,41.75964,112374111
-72.71283,41.75951,112374112
-72.71283,41.75937,112374113
-72.71284,41.75923,112374114
-72.71284,41.75910,112374115
-72.71482,41.75901,113368012
-72.71478,41.75872,113368013
-72.71476,41.75857,113368014
-72.71444,41.75859,113368015
-72.71426,41.75867,113368016
-72.71436,41.75889,113368017
-72.71438,41.75903,113368018
-72.71384,41.75882,113369019
-72.71384,41.75867,113369020
-72.71385,41.75853,113369021
-72.71393,41.75826,113369022
-72.71419,41.75817,113369023
-72.71437,41.75812,113369024
-72.71471,41.75827,113369025
-72.71469,41.75810,113369026
-72.71467,41.75795,113369027
-72.71465,41.75783,113369028
-72.71463,41.75768,113369029
-72.71433,41.75785,113369039
-72.71414,41.75782,113369040
-72.71392,41.75786,113369041
-72.71369,41.75772,113369042
-72.71344,41.75771,113369043
-72.71353,41.75786,113369044
-72.71352,41.75798,113369045
-72.71351,41.75813,113369046
-72.71350,41.75826,113369047
-72.71349,41.75839,113369048
-72.71348,41.75853,113369049
-72.71347,41.75867,113369050
-72.71346,41.75881,113369051
-72.71345,41.75895,113369052
-72.71458,41.75731,113370030
-72.71444,41.75676,113370031
-72.71403,41.75671,113370032
-72.71362,41.75680,113370033
-72.71358,41.75731,113370034
-72.71356,41.75745,113370035
-72.71391,41.75732,113370036
-72.71408,41.75735,113370037
-72.71426,41.75734,113370038
-72.71284,41.75894,113374053
-72.71285,41.75878,113374054
-72.71285,41.75868,113374055
-72.71286,41.75855,113374056
-72.71286,41.75837,113374057
-72.71287,41.75827,113374058
-72.71284,41.75814,113374059
-72.71287,41.75798,113374060
-72.71288,41.75784,113374061
-72.71288,41.75770,113374062
-72.71288,41.75756,113374063
-72.71289,41.75743,113374064
-72.71289,41.75730,113374065
-72.71290,41.75715,113374066
-72.71290,41.75703,113374067
-72.71291,41.75688,113374068
-72.71291,41.75676,113374069
-72.71303,41.75661,113374070
-72.71275,41.75641,113374072
-72.71247,41.75656,113374073
-72.71247,41.75730,113374074
-72.71304,41.75642,113374900
-72.71342,41.75531,113471001
-72.71341,41.75545,113471002
-72.71340,41.75559,113471003
-72.71339,41.75571,113471004
-72.71320,41.75596,113471005
-72.71337,41.75599,113471006
-72.71354,41.75593,113471007
-72.71388,41.75597,113471008
-72.71420,41.75546,113471009
-72.71442,41.75590,113471010
-72.71440,41.75611,113471011
-72.71279,41.75592,113476075
-72.71258,41.75566,113476076
-72.71262,41.75552,113476077
-72.71266,41.75538,113476078
-72.71269,41.75525,113476079
-72.71438,41.75508,114471001
-72.71427,41.75460,114471002
-72.71444,41.75405,114471003
-72.71430,41.75370,114471004
-72.71363,41.75251,114471005
-72.71447,41.75258,114471006
-72.71463,41.75205,114471007
-72.71427,41.75208,114471009
-72.71240,41.75227,114471010
-72.71250,41.75319,114471011
-72.71270,41.75317,114471012
-72.71287,41.75325,114471013
-72.71305,41.75318,114471014
-72.71353,41.75360,114471015
-72.71353,41.75370,114471016
-72.71392,41.75388,114471017
-72.71352,41.75385,114471018
-72.71367,41.75399,114471019
-72.71366,41.75413,114471020
-72.71349,41.75455,114471022
-72.71348,41.75471,114471023
-72.71346,41.75491,114471024
-72.71345,41.75504,114471025
-72.71344,41.75518,114471026
-72.71351,41.75433,114471900
-72.71345,41.75146,114472008
-72.71272,41.75512,114476027
-72.71277,41.75493,114476028
-72.71282,41.75475,114476029
-72.71285,41.75462,114476030
-72.71265,41.75430,114477031
-72.71286,41.75431,114477032
-72.71302,41.75431,114477033
-72.71299,41.75409,114477034
-72.71302,41.75374,114477035
-72.71281,41.75374,114477036
-72.71263,41.75380,114477037
-72.71460,41.75121,115472001
-72.71463,41.75066,115472002
-72.71435,41.74899,115473003
-72.71477,41.74848,115473004
-72.71437,41.74844,115473017
-72.71422,41.74843,115473018
-72.71278,41.74830,115473081
-72.71314,41.74878,115473082
-72.71386,41.74842,115473900
-72.71326,41.74833,115473901
-72.71482,41.74804,115474005
-72.71483,41.74792,115474006
-72.71485,41.74778,115474007
-72.71487,41.74764,115474008
